Year,Month,District,Accident,Deaths,Injured
2013,1,Seongbuk,112,2,155
2013,2,Seongbuk,103,0,159
2013,3,Seongbuk,134,2,186
2013,4,Seongbuk,97,0,139
2013,5,Seongbuk,150,0,207
2013,6,Seongbuk,130,1,180
2013,7,Seongbuk,137,1,187
2013,8,Seongbuk,126,0,174
2013,9,Seongbuk,122,1,178
2013,10,Seongbuk,151,1,200
2013,11,Seongbuk,153,1,235
2013,12,Seongbuk,121,0,149
2013,1,Gangbuk,76,0,111
2013,2,Gangbuk,70,0,98
2013,3,Gangbuk,85,0,113
2013,4,Gangbuk,85,0,116
2013,5,Gangbuk,97,1,135
2013,6,Gangbuk,103,2,126
2013,7,Gangbuk,99,1,138
2013,8,Gangbuk,113,1,155
2013,9,Gangbuk,100,1,127
2013,10,Gangbuk,100,0,139
2013,11,Gangbuk,82,0,127
2013,12,Gangbuk,97,4,140
2013,1,Dobong,75,1,93
2013,2,Dobong,63,0,98
2013,3,Dobong,75,0,109
2013,4,Dobong,74,0,101
2013,5,Dobong,79,0,112
2013,6,Dobong,92,2,123
2013,7,Dobong,82,0,123
2013,8,Dobong,77,0,100
2013,9,Dobong,72,1,85
2013,10,Dobong,93,2,128
2013,11,Dobong,72,0,86
2013,12,Dobong,80,2,101
2013,1,Nowon,105,1,161
2013,2,Nowon,100,1,160
2013,3,Nowon,114,1,160
2013,4,Nowon,121,1,173
2013,5,Nowon,136,1,206
2013,6,Nowon,139,1,223
2013,7,Nowon,118,0,181
2013,8,Nowon,117,1,142
2013,9,Nowon,134,1,177
2013,10,Nowon,151,1,186
2013,11,Nowon,142,3,195
2013,12,Nowon,145,1,211
2013,1,Eunpyeong,93,0,128
2013,2,Eunpyeong,89,1,123
2013,3,Eunpyeong,119,2,175
2013,4,Eunpyeong,133,0,175
2013,5,Eunpyeong,131,1,186
2013,6,Eunpyeong,117,0,158
2013,7,Eunpyeong,91,0,133
2013,8,Eunpyeong,105,0,133
2013,9,Eunpyeong,87,0,123
2013,10,Eunpyeong,104,3,130
2013,11,Eunpyeong,119,2,154
2013,12,Eunpyeong,82,1,98
2013,1,Seodaemun,96,1,145
2013,2,Seodaemun,76,0,106
2013,3,Seodaemun,86,2,135
2013,4,Seodaemun,82,2,114
2013,5,Seodaemun,91,0,154
2013,6,Seodaemun,93,1,145
2013,7,Seodaemun,88,1,132
2013,8,Seodaemun,86,0,120
2013,9,Seodaemun,96,3,135
2013,10,Seodaemun,82,1,107
2013,11,Seodaemun,106,1,146
2013,12,Seodaemun,99,2,139
2013,1,Mapo,117,4,192
2013,2,Mapo,110,4,159
2013,3,Mapo,153,3,218
2013,4,Mapo,158,1,311
2013,5,Mapo,175,2,248
2013,6,Mapo,140,0,193
2013,7,Mapo,136,2,216
2013,8,Mapo,159,0,283
2013,9,Mapo,156,1,216
2013,10,Mapo,158,3,278
2013,11,Mapo,155,1,228
2013,12,Mapo,130,2,190
2013,1,Yangcheon,95,0,137
2013,2,Yangcheon,79,0,112
2013,3,Yangcheon,109,1,159
2013,4,Yangcheon,114,1,177
2013,5,Yangcheon,126,2,157
2013,6,Yangcheon,121,0,166
2013,7,Yangcheon,123,2,188
2013,8,Yangcheon,112,0,175
2013,9,Yangcheon,123,4,153
2013,10,Yangcheon,117,2,171
2013,11,Yangcheon,128,1,191
2013,12,Yangcheon,93,1,119
2013,1,Gangseo,129,2,182
2013,2,Gangseo,104,3,161
2013,3,Gangseo,152,3,193
2013,4,Gangseo,153,3,232
2013,5,Gangseo,149,1,208
2013,6,Gangseo,157,4,237
2013,7,Gangseo,151,2,238
2013,8,Gangseo,155,2,246
2013,9,Gangseo,146,1,214
2013,10,Gangseo,168,2,233
2013,11,Gangseo,127,2,168
2013,12,Gangseo,124,1,205
2013,1,Guro,117,0,193
2013,2,Guro,83,0,121
2013,3,Guro,97,1,152
2013,4,Guro,127,4,215
2013,5,Guro,117,3,184
2013,6,Guro,130,1,202
2013,7,Guro,131,1,190
2013,8,Guro,97,3,142
2013,9,Guro,146,2,208
2013,10,Guro,139,1,228
2013,11,Guro,120,0,161
2013,12,Guro,111,3,169
2013,1,Geumcheon,93,0,145
2013,2,Geumcheon,52,1,74
2013,3,Geumcheon,75,3,127
2013,4,Geumcheon,84,0,115
2013,5,Geumcheon,86,2,113
